participant_id,country,region,age,gender,education,occupation,primary_language,urban_rural,internet_access,news_consumption_platform,ai_use_frequency,ai_literacy_score,source_condition
AF0353,Kenya,East Africa,30,Man,Doctoral/professional degree,Engineer/Technology,Swahili,Urban,Mobile data (4G),Television,Daily,4.5,human
AF0354,Kenya,East Africa,34,Woman,Some university/college,Healthcare worker,English,Urban,Mobile data (4G),Newspaper (print),Sometimes (monthly),3.0,llm
AF0355,South Africa,Southern Africa,20,Man,Secondary school certificate,Teacher/Educator,Zulu,Urban,Mobile data (4G),Newspaper (print),Sometimes (monthly),4.5,human
AF0356,Kenya,East Africa,18,Man,Some university/college,Informal sector/Trader,Swahili,Peri-urban,Mobile data (4G),Online news site,Daily,3.0,llm
AF0357,Uganda,East Africa,43,Prefer not to say,Secondary school certificate,Healthcare worker,Luganda,Rural,Mobile data (2G/3G),WhatsApp/Social media,Never,3.0,human
AF0358,Nigeria,West Africa,24,Woman,Bachelor's degree,Student,Igbo,Peri-urban,Broadband/WiFi,WhatsApp/Social media,Often (weekly),3.5,llm
AF0359,Ghana,West Africa,18,Woman,Bachelor's degree,Informal sector/Trader,English,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),2.75,human
AF0360,Nigeria,West Africa,25,Woman,Bachelor's degree,Teacher/Educator,English,Urban,Broadband/WiFi,WhatsApp/Social media,Often (weekly),2.0,llm
AF0361,Cameroon,Central Africa,18,Man,Secondary school certificate,Teacher/Educator,French,Urban,Broadband/WiFi,Newspaper (print),Sometimes (monthly),4.75,human
AF0362,Ghana,West Africa,29,Woman,Bachelor's degree,Business/Finance,Ga,Rural,Broadband/WiFi,Radio,Rarely (a few times a year),3.75,llm
AF0363,Uganda,East Africa,24,Woman,Bachelor's degree,Teacher/Educator,English,Urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),5.0,human
AF0364,Nigeria,West Africa,18,Man,Less than secondary school,Healthcare worker,English,Peri-urban,Mobile data (4G),WhatsApp/Social media,Never,4.25,llm
AF0365,Ghana,West Africa,21,Man,Less than secondary school,Informal sector/Trader,Twi (Akan),Peri-urban,Broadband/WiFi,WhatsApp/Social media,Often (weekly),3.5,human
AF0366,South Africa,Southern Africa,34,Woman,Master's degree,Unemployed/Seeking work,English,Rural,Mobile data (4G),Social media,Often (weekly),4.0,llm
AF0367,Senegal,West Africa,34,Woman,Doctoral/professional degree,Government/Civil service,Serer,Peri-urban,Mobile data (2G/3G),Radio,Sometimes (monthly),3.5,human
AF0368,Rwanda,East Africa,35,Woman,Bachelor's degree,Healthcare worker,French,Peri-urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),2.5,llm
AF0369,Ethiopia,East Africa,32,Woman,Master's degree,Healthcare worker,Somali,Rural,No regular internet,Radio,Daily,1.0,human
AF0370,Uganda,East Africa,32,Man,Some university/college,Farmer/Agriculture,Luganda,Rural,Mobile data (2G/3G),Online news site,Sometimes (monthly),2.5,llm
AF0371,Tanzania,East Africa,37,Man,Less than secondary school,Healthcare worker,Swahili,Rural,Mobile data (4G),Television,Rarely (a few times a year),3.25,human
AF0372,Uganda,East Africa,32,Man,Bachelor's degree,Farmer/Agriculture,Luganda,Rural,Mobile data (4G),Radio,Never,3.5,llm
AF0373,Kenya,East Africa,31,Woman,Master's degree,Healthcare worker,Kikuyu,Urban,Broadband/WiFi,WhatsApp/Social media,Rarely (a few times a year),3.5,human
AF0374,Tanzania,East Africa,30,Woman,Bachelor's degree,Self-employed/Entrepreneur,English,Rural,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),3.0,llm
AF0375,Kenya,East Africa,35,Woman,Master's degree,Farmer/Agriculture,Kikuyu,Urban,Mobile data (4G),WhatsApp/Social media,Often (weekly),3.75,human
AF0376,South Africa,Southern Africa,41,Woman,Secondary school certificate,Unemployed/Seeking work,English,Peri-urban,Broadband/WiFi,Social media,Rarely (a few times a year),4.0,llm
AF0377,South Africa,Southern Africa,41,Man,Less than secondary school,Engineer/Technology,Zulu,Peri-urban,Mobile data (2G/3G),Newspaper (print),Often (weekly),3.0,human
AF0378,Nigeria,West Africa,37,Woman,Bachelor's degree,Healthcare worker,Hausa,Urban,Mobile data (2G/3G),Online news site,Often (weekly),3.25,llm
AF0379,South Africa,Southern Africa,31,Woman,Bachelor's degree,NGO/Non-profit,English,Peri-urban,Mobile data (4G),Online news site,Often (weekly),3.5,human
AF0380,Ghana,West Africa,18,Man,Less than secondary school,Self-employed/Entrepreneur,Ewe,Urban,Mobile data (4G),Online news site,Never,4.5,llm
AF0381,Kenya,East Africa,18,Woman,Secondary school certificate,Farmer/Agriculture,Swahili,Urban,Broadband/WiFi,WhatsApp/Social media,Often (weekly),3.75,human
AF0382,Ghana,West Africa,18,Woman,Some university/college,Self-employed/Entrepreneur,Twi (Akan),Urban,Mobile data (4G),Radio,Sometimes (monthly),3.5,llm
AF0383,Nigeria,West Africa,19,Man,Some university/college,Student,Hausa,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),2.5,human
AF0384,South Africa,Southern Africa,22,Man,Secondary school certificate,Unemployed/Seeking work,Zulu,Urban,Mobile data (2G/3G),Social media,Never,4.75,llm
AF0385,Ethiopia,East Africa,27,Woman,Less than secondary school,Teacher/Educator,Oromo,Peri-urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),2.75,human
AF0386,Tanzania,East Africa,24,Woman,Some university/college,Farmer/Agriculture,Haya,Urban,Broadband/WiFi,Online news site,Often (weekly),5.0,llm
AF0387,Kenya,East Africa,34,Woman,Bachelor's degree,Healthcare worker,English,Urban,Broadband/WiFi,WhatsApp/Social media,Sometimes (monthly),4.0,human
AF0388,South Africa,Southern Africa,26,Man,Bachelor's degree,Self-employed/Entrepreneur,Zulu,Peri-urban,Mobile data (4G),Television,Rarely (a few times a year),2.75,llm
AF0389,Ethiopia,East Africa,38,Man,Bachelor's degree,Farmer/Agriculture,Amharic,Urban,Mobile data (2G/3G),Television,Often (weekly),3.5,human
AF0390,Zimbabwe,Southern Africa,20,Woman,Secondary school certificate,Teacher/Educator,English,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),3.5,llm
AF0391,Kenya,East Africa,34,Man,Master's degree,Informal sector/Trader,English,Rural,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),3.5,human
AF0392,Zimbabwe,Southern Africa,33,Man,Master's degree,Teacher/Educator,Shona,Peri-urban,Mobile data (2G/3G),Online news site,Never,3.5,llm
AF0393,Tanzania,East Africa,26,Man,Some university/college,Farmer/Agriculture,Swahili,Peri-urban,Mobile data (2G/3G),Radio,Sometimes (monthly),2.75,human
AF0394,Ghana,West Africa,27,Man,Master's degree,Farmer/Agriculture,Dagbani,Urban,Mobile data (4G),Radio,Daily,3.75,llm
AF0395,Ghana,West Africa,24,Woman,Some university/college,Self-employed/Entrepreneur,Ga,Rural,Mobile data (4G),WhatsApp/Social media,Never,3.5,human
AF0396,Kenya,East Africa,33,Man,Bachelor's degree,Farmer/Agriculture,Luo,Peri-urban,Mobile data (4G),Television,Sometimes (monthly),3.5,llm
AF0397,Ghana,West Africa,28,Man,Master's degree,Self-employed/Entrepreneur,English,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),4.0,human
AF0398,Tanzania,East Africa,32,Woman,Some university/college,Government/Civil service,Swahili,Peri-urban,Mobile data (2G/3G),Television,Sometimes (monthly),3.0,llm
AF0399,Uganda,East Africa,30,Non-binary,Some university/college,Self-employed/Entrepreneur,English,Urban,Mobile data (2G/3G),Radio,Often (weekly),2.0,human
AF0400,Nigeria,West Africa,34,Woman,Bachelor's degree,Business/Finance,Hausa,Peri-urban,Mobile data (4G),Television,Often (weekly),2.75,llm
AF0401,South Africa,Southern Africa,40,Woman,Master's degree,Farmer/Agriculture,Zulu,Rural,Mobile data (4G),Television,Sometimes (monthly),3.25,human
AF0402,Kenya,East Africa,35,Woman,Master's degree,Business/Finance,Swahili,Urban,No regular internet,Radio,Often (weekly),3.25,llm
AF0403,Nigeria,West Africa,26,Woman,Secondary school certificate,Government/Civil service,Yoruba,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.75,human
AF0404,Kenya,East Africa,18,Man,Secondary school certificate,Healthcare worker,English,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),4.25,llm
AF0405,Nigeria,West Africa,43,Woman,Secondary school certificate,Self-employed/Entrepreneur,Igbo,Urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),3.0,human
AF0406,Nigeria,West Africa,40,Man,Secondary school certificate,Healthcare worker,Igbo,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),3.75,llm
AF0407,Nigeria,West Africa,23,Woman,Bachelor's degree,Informal sector/Trader,Pidgin English,Urban,Mobile data (4G),Online news site,Rarely (a few times a year),3.0,human
AF0408,Nigeria,West Africa,31,Woman,Bachelor's degree,Self-employed/Entrepreneur,Igbo,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.25,llm
AF0409,Ghana,West Africa,21,Woman,Some university/college,Healthcare worker,Twi (Akan),Urban,Mobile data (4G),Radio,Rarely (a few times a year),4.25,human
AF0410,Ghana,West Africa,27,Woman,Less than secondary school,Student,Twi (Akan),Urban,Broadband/WiFi,WhatsApp/Social media,Never,3.75,llm
AF0411,Nigeria,West Africa,33,Man,Master's degree,Healthcare worker,Hausa,Urban,Mobile data (4G),Online news site,Daily,3.0,human
AF0412,Ethiopia,East Africa,19,Man,Less than secondary school,Student,Oromo,Peri-urban,Mobile data (4G),Radio,Sometimes (monthly),3.75,llm
